TIME ELAPSDED IN MIS GIVEN TREE DECOMPOSITION: 0.49701690673828125
TIME ELAPSDED IN MIS NOT GIVEN TREE DECOMPOSITION: 3.332988977432251
MIS SET FROM CUSTOM IMPLEMENTATION: ({0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51, 54, 57, 60, 63, 66, 69, 72, 75, 78, 81, 84, 87, 90, 93, 96, 99, 102, 105, 108, 111, 114, 117, 120, 123, 126, 129, 132, 135, 138, 141, 144, 147, 150, 153, 156, 159, 162, 165, 168, 171, 174, 177, 180, 183, 186, 189, 192, 195, 198, 201, 204, 207, 210, 213, 216, 219, 222, 225, 228, 231, 234, 237, 240, 243, 246, 249, 252, 255, 258, 261, 264, 267, 270, 273, 276, 279, 282, 285, 288, 291, 294, 297, 300, 303, 306, 309, 312, 315, 318, 321, 324, 327, 330, 333, 336, 339, 342, 345, 348, 351, 354, 357, 360, 363, 366, 369, 372, 375, 378, 381, 384, 387, 390, 393, 396, 399, 402, 405, 408, 411, 414, 417, 420, 423, 426, 429, 432, 435, 438, 441, 444, 447, 450, 453, 456, 459, 462, 465, 468, 471, 474, 477, 480, 483, 486, 489, 492, 495, 498, 501, 504, 507, 510, 513, 516, 519, 522, 525, 528, 531, 534, 537, 540, 543, 546, 549, 552, 555, 558, 561, 564, 567, 570, 573, 576, 579, 582, 585, 588, 591, 594, 597, 600, 603, 606, 609, 612, 615, 618, 621, 624, 627, 630, 633, 636, 639, 642, 645, 648, 651, 654, 657, 660, 663, 666, 669, 672, 675, 678, 681, 684, 687, 690, 693, 696, 699, 702, 705, 708, 711, 714, 717, 720, 723, 726, 729, 732, 735, 738, 741, 744, 747, 750, 753, 756, 759, 762, 765, 768, 771, 774, 777, 780, 783, 786, 789, 792, 795, 798, 801, 804, 807, 810, 813, 816, 819, 822, 825, 828, 831, 834, 837, 840, 843, 846, 849, 852, 855, 858, 861, 864, 867, 870, 873, 876, 879, 882, 885, 888, 891, 894, 897, 900, 903, 906, 909, 912, 915, 918, 921, 924, 927, 930, 933, 936, 939, 942, 945, 948, 951, 954, 957, 960, 963, 966, 969, 972, 975, 978, 981, 984, 987, 990, 993, 996, 999}, 334)
         4809034 function calls (4806021 primitive calls) in 3.353 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     3985    0.001    0.000    0.001    0.000 {built-in method sage.structure.richcmp.rich_to_bool}
        4    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       14    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
     1996    0.001    0.000    0.003    0.000 {method 'add' of 'set' objects}
     2991    0.012    0.000    0.019    0.000 {method 'add_edge' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
      998    0.012    0.000    0.016    0.000 {method 'add_edges' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
      997    0.001    0.000    0.001    0.000 {method 'add_vertex' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
     1996    0.019    0.000    0.033    0.000 {method 'add_vertices' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
       14    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     3006    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1006    0.000    0.000    0.000    0.000 {method 'degree' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
        2    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     2035    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     3008    0.004    0.000    0.006    0.000 {method 'has_vertex' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
        2    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
   498500    0.076    0.000    0.076    0.000 {method 'issuperset' of 'set' objects}
     1001    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'iterator_edges' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
    11960    0.003    0.000    0.003    0.000 {method 'iterator_nbrs' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
     4993    0.003    0.000    0.003    0.000 {method 'iterator_verts' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
       25    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
